City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
632,san juan de la maguana,DO,77.09,broken clouds,18.8059,-71.2299,Hotel Maguana
633,khandyga,RU,75.15,overcast clouds,62.6667,135.6,Apel'sin
636,virginia beach,US,86.02,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
637,pochutla,MX,86.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
641,tubuala,PA,81.34,few clouds,9.5167,-79.0333,Río Nabagana
642,multan,PK,89.49,smoke,30.1956,71.4753,Synergy Rooms
644,mogadishu,SO,78.8,overcast clouds,2.0371,45.3438,Hotel Juba
647,roma,US,77.13,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
648,xiamen,CN,75.25,broken clouds,24.4798,118.0819,Xiamen Dongchen Hotel
649,keti bandar,PK,84.45,broken clouds,24.1447,67.4497,Haji laloo memon house
650,botro,CI,70.38,heavy intensity rain,7.8525,-5.3106,Motel de la Station BOTRO
651,kirakira,SB,84.79,overcast clouds,-10.4544,161.9205,SanBiz Lodge
654,iwaki,JP,77.77,overcast clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
655,encarnacion,PY,71.74,overcast clouds,-27.3333,-55.9,Hotel Posadas
663,ciudad bolivar,VE,77.81,broken clouds,8.1222,-63.5497,Hotel Edi
665,port-gentil,GA,78.76,light rain,-0.7193,8.7815,Fengshui Residence
667,mundo nuevo,MX,83.53,overcast clouds,18.7,-95.5,
668,port keats,AU,74.19,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
669,auki,SB,85.57,few clouds,-8.7676,160.7034,Auki Motel
670,san andres,CO,81.95,clear sky,12.5847,-81.7006,Hotel Arena Blanca
673,moindou,NC,73.35,overcast clouds,-21.6924,165.677,Gite de la RYAWA
674,tonj,SS,71.37,overcast clouds,7.2737,28.6822,
675,teknaf,BD,82.08,overcast clouds,20.8624,92.3058,Forestry Guesthouse
676,shache,CN,74.07,clear sky,38.4167,77.2406,Delong Hotel
678,tshela,CD,70.77,scattered clouds,-4.9833,12.9333,Hotel Mirador
679,san miguel,SV,84.56,scattered clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
681,rockland,US,88.09,overcast clouds,41.1668,-74.0496,National Camp Association
684,karauli,IN,86.45,broken clouds,26.5,77.0167,Bhanwar Vilas Palace
685,matara,LK,77.23,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
688,cam ranh,VN,80.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
689,mahina,PF,83.97,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
