City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,ati,TD,13.2154,18.3353,92.62,27,94,6.29,overcast clouds
286,rozivka,UA,46.9385,35.7724,55.72,86,51,5.73,broken clouds
287,taree,AU,-31.9,152.4667,54.1,76,1,8.05,clear sky
288,sao jose da coroa grande,BR,-8.8978,-35.1478,76.05,86,6,10.89,clear sky
289,helong,CN,42.5397,128.9972,62.53,56,15,9.42,few clouds
290,santos dumont,BR,-21.4567,-43.5525,63.57,95,9,1.34,clear sky
291,sept-iles,CA,50.2001,-66.3821,61.32,74,75,5.99,broken clouds
292,cajuru,BR,-21.2753,-47.3042,70.77,44,65,4.41,broken clouds
293,bom jardim,BR,-7.7958,-35.5872,73.74,97,16,4.63,few clouds
294,chiredzi,ZW,-21.05,31.6667,51.87,88,45,2.66,scattered clouds
295,mae hong son,TH,19.3003,97.9685,76.32,96,100,1.12,overcast clouds
296,ayagoz,KZ,47.9714,80.4392,45.0,63,0,9.31,clear sky
297,sandpoint,US,48.2766,-116.5533,68.61,48,40,1.99,scattered clouds
298,cherskiy,RU,68.75,161.3,69.1,28,77,22.24,broken clouds
299,pierre,US,44.3683,-100.351,100.99,100,3,17.0,clear sky
300,aras,ES,42.5617,-2.356,54.03,88,0,5.46,clear sky
301,caravelas,BR,-17.7125,-39.2481,73.0,90,3,6.46,clear sky
302,danane,CI,7.2596,-8.155,72.14,99,99,2.06,light rain
303,fort myers beach,US,26.452,-81.9481,84.02,82,90,1.01,overcast clouds
304,belaya gora,RU,68.5333,146.4167,77.02,27,60,15.01,broken clouds
305,atambua,ID,-9.1061,124.8925,77.04,73,80,4.07,broken clouds
306,mont-joli,CA,48.5839,-68.1921,68.99,100,75,10.36,broken clouds
307,veraval,IN,20.9,70.3667,84.09,67,7,6.89,clear sky
308,meiganga,CM,6.5167,14.3,65.43,97,99,2.55,overcast clouds
309,richards bay,ZA,-28.783,32.0377,61.25,82,95,3.09,overcast clouds
310,dragoman,BG,42.9189,22.9317,56.37,78,9,0.78,clear sky
311,deputatskiy,RU,69.3,139.9,33.82,75,100,14.14,overcast clouds
312,viedma,AR,-40.8135,-62.9967,47.46,52,4,9.57,clear sky
313,vegueta,PE,-11.0231,-77.6431,64.38,83,11,10.47,few clouds
314,mandiana,GN,10.6333,-8.6833,79.02,69,67,6.51,broken clouds
315,stepnyak,KZ,52.8339,70.7803,49.55,51,11,4.29,few clouds
316,coolum beach,AU,-26.5333,153.1,66.34,64,0,6.96,clear sky
317,luderitz,NA,-26.6481,15.1594,70.11,31,0,16.58,clear sky
318,lebyazhye,RU,55.2689,66.4947,50.83,63,4,5.59,clear sky
319,grand forks,US,47.9417,-97.4337,98.53,22,40,8.05,scattered clouds
320,nelson bay,AU,-32.7167,152.15,57.0,63,1,3.0,clear sky
321,rawson,AR,-43.3002,-65.1023,46.18,54,0,12.64,clear sky
322,labuhan,ID,-6.8844,112.2051,79.25,81,13,6.33,few clouds
323,kharp,RU,66.8014,65.8081,38.44,65,35,10.16,scattered clouds
324,saskylakh,RU,71.9167,114.0833,38.93,71,100,5.46,overcast clouds
325,ouadda,CF,8.0777,22.4007,65.5,96,91,2.37,light rain
326,placerville,US,38.7296,-120.7986,94.41,19,1,1.99,clear sky
327,nikolskoye,RU,59.7035,30.7861,55.4,61,60,4.03,broken clouds
328,grants pass,US,42.439,-123.3284,77.34,34,1,11.01,clear sky
